
Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - >DIPPA_23712.mRNA.1 product=hypothetical protein ;; inference=protein motif:PFAM:PF13852.5 ;; note=Protein of unknown function (DUF4197)	specific	433527	37	241	4.22731e-51	163.479	pfam13852	DUF4197	 - 	cl16437
Q#3 - >DIPPA_07231.mRNA.1 product=hypothetical protein ;; inference=protein motif:PFAM:PF00350.22 ;; note=Dynamin family	superfamily	459775	33	212	8.10171e-11	59.5523	cl47533	Dynamin_N superfamily	 - 	 - 
Q#7 - >DIPPA_00412.mRNA.1 product=hypothetical protein ;; inference=protein motif:PFAM:PF11719.7 ;; note=DNA replication and checkpoint protein	superfamily	371692	56	141	6.50108e-08	51.7542	cl44400	Drc1-Sld2 superfamily	C	 - 
Q#7 - >DIPPA_00412.mRNA.1 product=hypothetical protein ;; inference=protein motif:PFAM:PF11719.7 ;; note=DNA replication and checkpoint protein	superfamily	371692	169	225	2.27273e-05	44.0502	cl44400	Drc1-Sld2 superfamily	C	 - 
Q#8 - >DIPPA_17446.mRNA.1 product=hypothetical protein ;; inference=protein motif:PFAM:PF11719.7 ;; note=DNA replication and checkpoint protein	superfamily	371692	1295	1351	4.72435e-08	54.8358	cl44400	Drc1-Sld2 superfamily	C	 - 
Q#8 - >DIPPA_17446.mRNA.1 product=hypothetical protein ;; inference=protein motif:PFAM:PF11719.7 ;; note=DNA replication and checkpoint protein	superfamily	371692	1197	1290	2.39319e-07	52.5246	cl44400	Drc1-Sld2 superfamily	C	 - 
Q#8 - >DIPPA_17446.mRNA.1 product=hypothetical protein ;; inference=protein motif:PFAM:PF11719.7 ;; note=DNA replication and checkpoint protein	superfamily	371692	612	700	0.0022848	39.813	cl44400	Drc1-Sld2 superfamily	C	 - 
Q#8 - >DIPPA_17446.mRNA.1 product=hypothetical protein ;; inference=protein motif:PFAM:PF11719.7 ;; note=DNA replication and checkpoint protein	superfamily	282904	986	1178	0.00358134	39.8996	cl37540	Herpes_BLLF1 superfamily	NC	 - 
Q#12 - >DIPPA_14961.mRNA.2 product=hypothetical protein ;; inference=protein motif:PFAM:PF07691.11 ;; note=PA14 domain	superfamily	471833	526	649	4.53826e-17	76.6372	cl08459	PA14 superfamily	 - 	 - 
Q#12 - >DIPPA_14961.mRNA.2 product=hypothetical protein ;; inference=protein motif:PFAM:PF07691.11 ;; note=PA14 domain	superfamily	471833	351	464	3.99605e-09	53.5252	cl08459	PA14 superfamily	 - 	 - 
Q#12 - >DIPPA_14961.mRNA.2 product=hypothetical protein ;; inference=protein motif:PFAM:PF07691.11 ;; note=PA14 domain	superfamily	471833	190	301	1.35734e-08	51.9844	cl08459	PA14 superfamily	 - 	 - 
Q#12 - >DIPPA_14961.mRNA.2 product=hypothetical protein ;; inference=protein motif:PFAM:PF07691.11 ;; note=PA14 domain	superfamily	471833	82	141	9.41337e-07	46.9768	cl08459	PA14 superfamily	N	 - 
Q#13 - >DIPPA_14961.mRNA.1 product=hypothetical protein ;; inference=protein motif:PFAM:PF07691.11 ;; note=PA14 domain	superfamily	471833	526	649	4.53826e-17	76.6372	cl08459	PA14 superfamily	 - 	 - 
Q#13 - >DIPPA_14961.mRNA.1 product=hypothetical protein ;; inference=protein motif:PFAM:PF07691.11 ;; note=PA14 domain	superfamily	471833	351	464	3.99605e-09	53.5252	cl08459	PA14 superfamily	 - 	 - 
Q#13 - >DIPPA_14961.mRNA.1 product=hypothetical protein ;; inference=protein motif:PFAM:PF07691.11 ;; note=PA14 domain	superfamily	471833	190	301	1.35734e-08	51.9844	cl08459	PA14 superfamily	 - 	 - 
Q#13 - >DIPPA_14961.mRNA.1 product=hypothetical protein ;; inference=protein motif:PFAM:PF07691.11 ;; note=PA14 domain	superfamily	471833	82	141	9.41337e-07	46.9768	cl08459	PA14 superfamily	N	 - 
